family,price,margin_rate,holding_cost
AUTOMOTIVE,3.5,0.25,0.05
BABY CARE,3.5,0.25,0.05
BEAUTY,3.5,0.25,0.05
BEVERAGES,3.5,0.25,0.05
BOOKS,3.5,0.25,0.05
BREAD/BAKERY,3.5,0.25,0.05
CELEBRATION,3.5,0.25,0.05
CLEANING,3.5,0.25,0.05
DAIRY,3.5,0.25,0.05
DELI,3.5,0.25,0.05
EGGS,3.5,0.25,0.05
FROZEN FOODS,3.5,0.25,0.05
GROCERY I,3.5,0.25,0.05
GROCERY II,3.5,0.25,0.05
HARDWARE,3.5,0.25,0.05
HOME AND KITCHEN I,3.5,0.25,0.05
HOME AND KITCHEN II,3.5,0.25,0.05
HOME APPLIANCES,3.5,0.25,0.05
HOME CARE,3.5,0.25,0.05
LADIESWEAR,3.5,0.25,0.05
LAWN AND GARDEN,3.5,0.25,0.05
LINGERIE,3.5,0.25,0.05
"LIQUOR,WINE,BEER",3.5,0.25,0.05
MAGAZINES,3.5,0.25,0.05
MEATS,3.5,0.25,0.05
PERSONAL CARE,3.5,0.25,0.05
PET SUPPLIES,3.5,0.25,0.05
PLAYERS AND ELECTRONICS,3.5,0.25,0.05
POULTRY,3.5,0.25,0.05
PREPARED FOODS,3.5,0.25,0.05
PRODUCE,3.5,0.25,0.05
SCHOOL AND OFFICE SUPPLIES,3.5,0.25,0.05
SEAFOOD,3.5,0.25,0.05
